"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent
Caribbean Netherlands,9592,,34.0,,9392.0,,166.0,,359736.0,1275.0,30126.0,1129838.0,26664.0,North America
Tonga,9553,,11.0,,8306.0,,1236.0,,88565.0,102.0,408213.0,3784516.0,107864.0,Australia/Oceania
Niger,8914,,309.0,,8508.0,1,97.0,1.0,346.0,12.0,249235.0,9663.0,25791706.0,Africa
Guinea-Bissau,8185,,171.0,,7515.0,,499.0,6.0,3988.0,83.0,132611.0,64620.0,2052178.0,Africa
Comoros,8100,,160.0,,7933.0,,7.0,,8969.0,177.0,,,903127.0,Africa
Sierra Leone,7681,,125.0,,,,,,929.0,15.0,259958.0,31432.0,8270591.0,Africa
Antigua and Barbuda,7571,,135.0,,7402.0,,34.0,1.0,76169.0,1358.0,18901.0,190157.0,99397.0,North America
Liberia,7432,,294.0,,5747.0,,1391.0,2.0,1409.0,56.0,139824.0,26518.0,5272811.0,Africa
Chad,7396,,193.0,,4874.0,,2329.0,,428.0,11.0,191341.0,11074.0,17278693.0,Africa
Samoa,7185,,13.0,,1605.0,,5567.0,3.0,35782.0,65.0,53893.0,268390.0,200801.0,Australia/Oceania
Vanuatu,6855,66,12.0,,6384.0,393,459.0,2.0,21413.0,37.0,24976.0,78017.0,320134.0,Australia/Oceania
St. Vincent Grenadines,6779,,106.0,,6641.0,,32.0,,60756.0,950.0,98860.0,886017.0,111578.0,North America
British Virgin Islands,6296,,62.0,,,,,1.0,205785.0,2026.0,102862.0,3362053.0,30595.0,North America
Sao Tome and Principe,5953,,73.0,,5875.0,,5.0,,26280.0,322.0,29036.0,128180.0,226526.0,Africa
Turks and Caicos,5941,,36.0,,5862.0,,43.0,4.0,149779.0,908.0,478593.0,12065877.0,39665.0,North America
Saint Kitts and Nevis,5561,,43.0,,5517.0,,1.0,,103211.0,798.0,65141.0,1209001.0,53880.0,North America
Cook Islands,4727,,,,3990.0,,737.0,,268686.0,,15740.0,894674.0,17593.0,Australia/Oceania
St. Barth,4432,,6.0,,,,,,446234.0,604.0,78646.0,7918445.0,9932.0,North America
Palau,4396,,6.0,,3879.0,,511.0,1.0,240877.0,329.0,45500.0,2493151.0,18250.0,Australia/Oceania
Kiribati,3076,,13.0,,2597.0,,466.0,3.0,25056.0,106.0,,,122767.0,Australia/Oceania
